NUMEMP;TIPCOL;NUMCAD;DATAFA;HORAFA;DATTER;HORTER;PRVTER;SITAFA;CAUDEM;DIAJUS;OBSAFA;CODDOE;NOMATE;ORGCLA;REGCON;ESTCON;MOTRAI
1;1;245;20/02/2020;0;05/03/2020;0;;14;;;SGO - REQUISICAO N.: 202003023800002;;;;;;40
1;1;265;10/06/2015;0;25/09/2018;0;;3;;;CHAMADO 201809023800096;;;;;;30
1;1;265;22/09/2014;0;20/04/2015;0;;3;;;;;;;;;30
1;1;265;28/11/2018;0;22/01/2019;0;;3;;;CHAMADO 201812023800083/CHAMADO 201901023800175;;;;;;30
1;1;268;01/05/2017;0;30/10/2019;0;;3;;;SGO - REQUISICAO N.: 201705023800160;;;;;;30
1;1;268;22/10/2015;0;19/04/2017;0;;3;;;;;;;;;30
1;1;268;26/06/2015;0;21/10/2015;0;;3;;;;;;;;;30
1;1;268;31/10/2019;0;01/01/9999;0;;22;;;;;;;;;0
1;1;269;02/09/2013;0;30/01/2014;0;;3;;;;;;;;;30
1;1;278;17/03/2019;0;01/04/2019;0;;14;;;SGO - REQUISICAO N.: 201903023800129;;;;;;40
1;1;280;13/05/2019;0;18/05/2019;0;;14;;;SGO - REQUISICAO N.: 201905023800139;;;;;;40
1;1;284;03/02/2022;0;06/02/2022;0;;14;;;SGO - REQUISICAO N.: 202202023800271;;;;;;40
1;1;284;08/02/2022;0;12/02/2022;0;;14;;;;;;;;;40
1;1;284;13/02/2022;0;22/02/2022;0;;14;;;;;;;;;40
1;1;284;25/03/2021;0;29/03/2021;0;;14;;;SGO - REQUISICAO N.: 202103023800162;;;;;;40
1;1;288;14/07/2022;0;17/07/2022;0;;14;;;SGO - REQUISICAO N.: 202207023800196;;;;;;40
1;1;288;17/07/2022;0;20/07/2022;0;;14;;;SGO - REQUISICAO N.: 202207023800197;;;;;;40
1;1;295;02/01/2015;0;04/02/2015;0;;3;;;;;;;;;30
1;1;297;04/09/2019;0;02/01/2020;0;;6;;;SGO - REQUISICAO N.: 201909023800020;;;;;;50
1;1;297;18/08/2019;0;21/08/2019;0;;14;;;SGO - REQUISICAO N.: 201908023800158;;;;;;40
1;1;297;21/08/2019;0;03/09/2019;0;;14;;;SGO - REQUISICAO N.: 201908023800159;;;;;;40
1;1;297;22/07/2019;0;29/07/2019;0;;14;;;SGO - REQUISICAO N.: 201907023800192;;;;;;40
1;1;299;17/06/2022;0;23/06/2022;0;;14;;;SGO - REQUISICAO N.: 202206023800139;;;;;;40
1;1;318;01/06/2024;0;16/06/2024;0;;14;;;TICKET 386885 / ALTERADO TICKET 391793|;;;;;;40
1;1;318;02/05/2024;0;01/06/2024;0;;3;;;TICKET: 378987|;;;;;;30
1;1;318;13/07/2022;0;16/07/2022;0;;14;;;SGO - REQUISICAO N.: 202207023800194;;;;;;40
1;1;318;15/03/2021;0;24/04/2021;0;;3;;;SGO - REQUISICAO N.: 202103023800154 - CHAMADO DE PRORROGAÇÃO 202104023800120;;;;;;30
1;1;318;16/06/2024;0;16/07/2024;0;;3;;;TICKET 395894.|;;;;;;30
1;1;318;26/12/2020;0;09/01/2021;0;;14;;;CONFORME EMAIL EM TER., 29 DE DEZ. DE 2020 ÀS 09:34, MAYRA CURY;;;;;;40
1;1;321;22/01/2025;0;25/01/2025;0;;14;;;|;;;;;;40
1;1;321;22/02/2017;0;18/04/2017;0;;3;;;SGO - REQUISICAO N.: 201703023800043;;;;;;30
1;1;340;06/03/2017;0;12/05/2017;0;;3;;;SGO - REQUISICAO N.: 201703023800145;;;;;;30
1;1;340;22/02/2016;0;11/04/2016;0;;3;;;;;;;;;30
1;1;366;01/12/2023;0;07/12/2023;0;;14;;;SGO - REQUISICAO N.: 202312023800015|;;;;;;40
1;1;366;15/05/2019;0;18/05/2019;0;;14;;;SGO - REQUISICAO N.: 201905023800138;;;;;;40
1;1;366;18/12/2024;0;21/12/2024;0;;14;;;TICKET 486113|;;;;;;40
1;1;366;25/07/2024;0;03/08/2024;0;;14;;;TICKET 416040|;;;;;;40
1;1;366;28/12/2021;0;01/01/2022;0;;14;;;;;;;;;40
1;1;376;01/07/2019;0;04/07/2019;0;;14;;;SGO - REQUISICAO N.: 201907023800038;;;;;;40
1;1;376;05/08/2019;0;12/08/2019;0;;14;;;SGO - REQUISICAO N.: 201908023800044;;;;;;40
1;1;376;14/05/2019;0;17/05/2019;0;;14;;;SGO - REQUISICAO N.: 201905023800136;;;;;;40
1;1;376;20/05/2019;0;27/05/2019;0;;14;;;SGO - REQUISICAO N.: 201905023800135;;;;;;40
1;1;378;20/02/2019;0;23/02/2019;0;;14;;;SGO - REQUISICAO N.: 201902023800124;;;;;;40
1;1;380;04/01/2022;0;09/01/2022;0;;14;;;SGO - REQUISICAO N.: 202201023800034;;;;;;40
1;1;380;08/07/2019;0;13/07/2019;0;;14;;;SGO - REQUISICAO N.: 201907023800106;;;;;;40
1;1;380;10/02/2019;0;17/02/2019;0;;14;;;SGO - REQUISICAO N.: 201902023800103;;;;;;40
1;1;381;30/07/2020;0;06/08/2020;0;;14;;;;;;;;;40
1;1;389;01/08/2019;0;06/08/2019;0;;14;;;SGO - REQUISICAO N.: 201908023800006;;;;;;40
1;1;389;06/08/2019;0;08/08/2019;0;;3;;;EMAIL REGIANE 26/08/2019;;;;;;30
1;1;389;08/08/2019;0;10/08/2019;0;;14;;;SGO - REQUISICAO N.: 201908023800152;;;;;;40
1;1;389;13/08/2019;0;17/08/2019;0;;14;;;SGO - REQUISICAO N.: 201908023800093;;;;;;40
1;1;390;04/11/2019;0;07/11/2019;0;;14;;;SGO - REQUISICAO N.: 201911023800113;;;;;;40
1;1;390;07/11/2019;0;15/11/2019;0;;14;;;SGO - REQUISICAO N.: 201911023800167;;;;;;40
1;1;390;17/08/2021;0;20/08/2021;0;;14;;;SGO - REQUISICAO N.: 202108023800126;;;;;;40
1;1;390;27/08/2020;0;01/09/2020;0;;14;;;CADSTRO SOLICITADO CONF. E-MAIL ENVIADO EM 31/08/20 POR MAYRA;;;;;;40
1;1;390;30/10/2019;0;02/11/2019;0;;14;;;SGO - REQUISICAO N.: 201911023800115;;;;;;40
1;1;393;21/07/2021;0;24/07/2021;0;;14;;;SGO - REQUISICAO N.: 202107023800206;;;;;;40
1;1;393;25/07/2021;0;30/07/2021;0;;14;;;SGO - REQUISICAO N.: 202107023800207;;;;;;40
1;1;394;04/09/2023;0;11/09/2023;0;;14;;;SGO - REQUISICAO N.: 202309023800043;;;;;;40
1;1;394;16/05/2022;0;21/05/2022;0;;14;;;SGO - REQUISICAO N.: 202205023800133;;;;;;40
1;1;394;27/05/2022;0;31/05/2022;0;;14;;;SGO - REQUISICAO N.: 202205023800141;;;;;;40
1;1;395;17/12/2020;0;31/12/2020;0;;14;;;MAYRA CURY SEGUNDA-FEIRA, 28 DE DEZEMBRO DE 2020 13:37;;;;;;40
1;1;395;18/04/2020;0;27/04/2020;0;;14;;;;;;;;;40
1;1;395;20/09/2019;0;01/10/2019;0;;14;;;SGO - REQUISICAO N.: 201910023800049;;;;;;40
1;1;396;12/04/2021;0;17/04/2021;0;;14;;;SGO - REQUISICAO N.: 202104023800193;;;;;;40
1;1;396;14/08/2019;0;17/08/2019;0;;14;;;SGO - REQUISICAO N.: 201908023800094;;;;;;40
