NUMEMP;TIPCOL;NUMCAD;DATALT;ESTCAR;CODCAR;CODMOT;;;;;;;;;;
1;1;93;01/10/2013;1;9401;14;;;11;01/02/2008;7205;;;11;#N/D;7205
1;1;93;01/09/2011;1;7223;1;;;35;02/05/2001;9999;;;35;#N/D;9999
1;1;94;01/10/2013;1;9402;14;;;50;02/05/2003;3202;;;50;#N/D;3202
1;1;94;01/09/2011;1;7231;1;;;74;01/04/2004;9999;;;74;#N/D;9999
1;1;95;01/10/2013;1;9402;14;;;93;01/09/2011;9401;;;93;9401;9401
1;1;95;01/09/2011;1;7231;1;;;94;01/09/2011;9402;;;94;9402;9402
1;1;97;01/10/2013;1;9401;14;;;95;01/09/2011;9402;;;95;9402;9402
1;1;97;01/09/2011;1;7223;1;;;97;01/09/2011;9401;;;97;9401;9401
1;1;98;01/10/2013;1;9401;14;;;98;01/09/2011;9401;;;98;9401;9401
1;1;98;01/09/2011;1;7223;1;;;100;03/10/2011;7238;;;100;#N/D;7238
1;1;266;01/04/2014;1;7205;14;;;102;01/09/2004;7224;;;102;#N/D;7224
1;1;266;01/06/2013;1;7223;14;;;105;05/03/2012;7204;;;105;#N/D;7204
1;1;266;01/10/2009;1;7205;1;;;106;01/11/2004;7110;;;106;#N/D;7110
1;1;267;01/09/2018;1;7204;4;;;108;16/11/2004;7235;;;108;#N/D;7235
1;1;267;01/06/2014;1;7205;4;;;117;02/05/2005;7228;;;117;#N/D;7228
1;1;267;18/02/2013;1;7206;1;;;120;09/05/2005;4302;;;120;#N/D;4302
1;1;269;01/07/2014;1;7239;4;;;124;01/09/2005;9999;;;124;#N/D;9999
1;1;269;04/03/2013;1;7240;1;;;129;01/11/2005;4201;;;129;#N/D;4201
1;1;271;01/07/2015;1;7205;4;;;130;01/11/2005;9999;;;130;#N/D;9999
1;1;271;18/09/2013;1;7206;1;;;137;09/01/2006;9999;;;137;#N/D;9999
1;1;272;01/05/2025;1;27237;4;;;146;03/04/2006;9999;;;146;#N/D;9999
1;1;272;01/09/2017;1;4207;4;;;158;01/06/2006;9999;;;158;#N/D;9999
1;1;272;10/09/2007;1;6201;1;;;164;01/07/2006;9999;;;164;#N/D;9999
1;1;273;01/07/2015;1;6205;4;;;171;01/08/2006;7224;;;171;#N/D;7224
1;1;273;04/04/2011;1;7238;1;;;178;02/10/2006;7241;;;178;#N/D;7241
1;1;275;01/08/2019;1;19;23;;;184;01/11/2006;7241;;;184;#N/D;7241
1;1;275;01/01/2015;1;7210;23;;;192;01/02/2007;8305;;;192;#N/D;8305
1;1;275;20/08/2007;1;6201;1;;;193;01/02/2007;9999;;;193;#N/D;9999
1;1;276;01/01/2015;1;7110;14;;;195;01/03/2007;7221;;;195;#N/D;7221
1;1;276;20/08/2007;1;7204;1;;;203;02/07/2007;9999;;;203;#N/D;9999
1;1;278;01/04/2015;1;7204;4;;;206;02/07/2007;3302;;;206;#N/D;3302
1;1;278;03/09/2007;1;7205;1;;;207;02/07/2007;4104;;;207;#N/D;4104
1;1;281;01/10/2013;1;9401;14;;;208;23/07/2007;9999;;;208;#N/D;9999
1;1;281;01/06/2013;1;7205;14;;;215;09/08/2007;7211;;;215;#N/D;7211
1;1;281;01/09/2011;1;27205;1;;;216;09/08/2007;4201;;;216;#N/D;4201
1;1;282;01/08/2015;1;7211;4;;;219;09/08/2007;9999;;;219;#N/D;9999
1;1;282;06/11/2013;1;7212;1;;;221;15/08/2007;9999;;;221;#N/D;9999
1;1;284;01/10/2023;1;27218;23;;;225;13/08/2007;9999;;;225;#N/D;9999
1;1;284;01/11/2019;1;7204;23;;;226;13/08/2007;9999;;;226;#N/D;9999
1;1;284;06/07/2009;1;7205;1;;;228;20/08/2007;6204;;;228;#N/D;6204
1;1;286;01/08/2024;1;7111;23;;;233;20/08/2007;9999;;;233;#N/D;9999
1;1;286;01/05/2024;1;27219;23;;;239;03/09/2007;9999;;;239;#N/D;9999
1;1;286;10/07/2006;1;7235;1;;;243;17/09/2007;9999;;;243;#N/D;9999
1;1;288;01/01/2024;1;27217;23;;;245;17/09/2007;7204;;;245;#N/D;7204
1;1;288;01/04/2014;1;7239;23;;;248;01/10/2007;7241;;;248;#N/D;7241
1;1;288;19/06/2013;1;7241;1;;;250;15/10/2007;7230;;;250;#N/D;7230
1;1;290;01/01/2024;1;27225;23;;;253;22/10/2007;7112;;;253;#N/D;7112
1;1;290;01/09/2018;1;7205;23;;;258;05/05/2008;4101;;;258;#N/D;4101
1;1;290;13/08/2007;1;7206;1;;;263;04/04/2011;7226;;;263;#N/D;7226
1;1;293;01/01/2015;1;7259;14;;;264;20/10/2008;9999;;;264;#N/D;9999
1;1;293;09/08/2007;1;7204;1;;;265;04/11/2013;7240;;;265;#N/D;7240
1;1;294;01/08/2015;1;7211;4;;;266;01/10/2009;7205;;;266;7205;7205
