NUMEMP;TIPCOL;NUMCAD;DATALT;SEQALT;CODMOT;VALSAL;TIPSAL;PERREA
1;1;11;01/02/2008;1;1;2.737,00;1;0
1;1;11;01/06/2013;1;20;3.011,80;1;0
1;1;11;01/11/2013;1;20;3.222,62;1;0
1;1;11;01/11/2014;1;20;3.464,31;1;0
1;1;11;01/11/2015;1;20;3.706,81;1;0
1;1;93;01/09/2011;1;1;6.315,00;1;0
1;1;93;01/10/2013;1;20;6.315,71;1;0
1;1;93;01/11/2013;1;20;6.757,80;1;0
1;1;93;01/11/2014;1;20;7.264,63;1;0
1;1;93;01/11/2015;1;20;7.773,15;1;0
1;1;94;01/09/2011;1;1;7.595,00;1;0
1;1;94;01/10/2013;1;20;7.595,12;1;0
1;1;94;01/11/2013;1;20;8.126,77;1;0
1;1;94;01/11/2014;1;20;8.736,27;1;0
1;1;94;01/11/2015;1;20;9.347,80;1;0
1;1;95;01/09/2011;1;1;3.585,00;1;0
1;1;95;01/10/2013;1;20;3.585,38;1;0
1;1;95;01/11/2013;1;20;3.836,35;1;0
1;1;95;01/11/2014;1;20;4.124,07;1;0
1;1;95;01/11/2015;1;20;4.412,75;1;0
1;1;97;01/09/2011;1;1;4.003,00;1;0
1;1;97;01/10/2013;1;20;4.003,03;1;0
1;1;97;01/11/2013;1;20;4.283,24;1;0
1;1;97;01/11/2014;1;20;4.604,48;1;0
1;1;97;01/11/2015;1;20;4.926,79;1;0
1;1;98;01/09/2011;1;1;7.890,00;1;0
1;1;98;01/10/2013;1;20;7.890,65;1;0
1;1;98;01/11/2013;1;20;8.442,99;1;0
1;1;98;01/11/2014;1;20;9.076,21;1;0
1;1;98;01/11/2015;1;20;9.706,21;1;0
1;1;100;01/11/2013;1;20;7.933,30;1;0
1;1;100;01/11/2014;1;20;8.528,29;1;0
1;1;100;01/11/2015;1;20;9.125,27;1;0
1;1;100;03/10/2011;1;1;7.414,00;1;0
1;1;102;01/06/2013;1;20;2.539,08;1;0
1;1;102;01/09/2004;1;1;2.351,00;1;0
1;1;102;01/11/2013;1;20;2.716,81;1;0
1;1;105;01/03/2016;1;3;8.822,13;1;0
1;1;105;01/03/2017;1;3;9.578,24;1;0
