NUMEMP;TIPCOL;NUMCAD;DATDEM;CAUDEM;DATAVI;DATPAG;QTDIND;QTDREA;QTDSSL;QTDFCA;SALFAV;SALFGT;COMRES;REPVAG;SALBAS;AVIPRE;JORSEM;SABCOM;QTDIAC;QTDRAC;TERQUI;ATEOBI;PROTRA
1;1;11;01/09/2016;0;01/09/2016;01/09/2016;0;0;0;0;0,00;0,00;;N;0,00;3;1;1;0;0;0;;
1;1;35;01/08/2011;2;01/08/2011;01/08/2011;0;0;0;0;0,00;0,00;;N;0,00;3;1;1;0;0;0;;
1;1;50;01/08/2011;2;01/08/2011;01/08/2011;0;0;0;0;0,00;0,00;;N;0,00;3;1;1;0;0;0;;
1;1;74;30/06/2010;2;30/06/2010;30/06/2010;0;0;0;0;0,00;0,00;;N;0,00;3;1;1;0;0;0;;
1;1;93;13/04/2016;4;13/04/2016;18/04/2016;0;0;0;0;8014,89;0,00;;N;8014,89;3;1;1;0;0;0;;
1;1;94;13/04/2016;4;13/04/2016;18/04/2016;0;0;0;0;9647,50;0,00;;N;9647,50;3;1;1;0;0;0;;
1;1;95;14/04/2016;2;14/04/2016;18/04/2016;0;0;0;0;4549,98;0,00;;N;4549,98;3;1;1;0;0;0;;
1;1;97;13/04/2016;4;13/04/2016;18/04/2016;0;0;0;0;5080,01;0,00;;N;5080,01;3;1;1;0;0;0;;
1;1;98;13/04/2016;4;13/04/2016;18/04/2016;0;0;0;0;10005,91;0,00;;N;10005,91;3;1;1;0;0;0;;
1;1;100;13/04/2016;4;13/04/2016;18/04/2016;0;0;0;0;9424,97;0,00;;N;9424,97;3;1;1;0;0;0;;
1;1;102;01/09/2015;0;01/09/2015;01/09/2015;0;0;0;0;0,00;0,00;;N;0,00;3;1;1;0;0;0;;
1;1;105;02/03/2020;0;01/03/2020;02/03/2020;0;0;0;0;0,00;0,00;;N;0,00;3;1;1;0;0;0;;
1;1;106;01/08/2011;2;01/08/2011;01/08/2011;0;0;0;0;0,00;0,00;;N;0,00;3;1;1;0;0;0;;
1;1;108;01/08/2011;2;01/08/2011;01/08/2011;0;0;0;0;0,00;0,00;;N;0,00;3;1;1;0;0;0;;
1;1;117;01/08/2011;2;01/08/2011;01/08/2011;0;0;0;0;0,00;0,00;;N;0,00;3;1;1;0;0;0;;
1;1;120;01/08/2011;2;01/08/2011;01/08/2011;0;0;0;0;0,00;0,00;;N;0,00;3;1;1;0;0;0;;
1;1;124;01/08/2011;2;01/08/2011;01/08/2011;0;0;0;0;0,00;0,00;;N;0,00;3;1;1;0;0;0;;
1;1;129;01/08/2011;2;01/08/2011;01/08/2011;0;0;0;0;0,00;0,00;;N;0,00;3;1;1;0;0;0;;
1;1;130;30/12/2011;2;30/12/2011;30/12/2011;0;0;0;0;6371,00;0,00;;N;6371,00;3;1;1;0;0;0;;
1;1;137;22/08/2011;2;22/08/2011;22/08/2011;0;0;0;0;3309,00;0,00;;N;3309,00;3;1;1;0;0;0;;
1;1;146;29/07/2011;2;29/07/2011;29/07/2011;0;0;0;0;2722,00;0,00;;N;2722,00;3;1;1;0;0;0;;
1;1;158;03/08/2011;2;03/08/2011;03/08/2011;0;0;0;0;2803,00;0,00;;N;2803,00;3;1;1;0;0;0;;
1;1;164;08/06/2011;2;08/06/2011;08/06/2011;0;0;0;0;6719,00;0,00;;N;6719,00;3;1;1;0;0;0;;
1;1;171;01/09/2015;0;01/09/2015;01/09/2015;0;0;0;0;0,00;0,00;;N;0,00;3;1;1;0;0;0;;
1;1;178;01/08/2011;2;01/08/2011;01/08/2011;0;0;0;0;0,00;0,00;;N;0,00;3;1;1;0;0;0;;
1;1;184;01/08/2011;2;01/08/2011;01/08/2011;0;0;0;0;0,00;0,00;;N;0,00;3;1;1;0;0;0;;
1;1;192;04/08/2014;2;04/08/2014;12/08/2014;0;0;0;0;2143,17;0,00;;N;2143,17;3;1;1;0;0;0;;
